rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.66667 6.91378756943986605421 6.74220153323457438432 6.43422576466844287069 6.04883166829393115194 5.57201310626313794927
0.67778 7.20008057250089805734 7.02035730971403282297 6.69709509648389911263 6.29090326918668907297 5.78573101843900960972
0.68889 7.49493153266601996876 7.30693276290588844546 6.96803028707199523240 6.54038603572540733211 6.00518734721832903034
0.70000 7.79827657996979084487 7.60192362033691715340 7.24712673484649982925 6.79749647342529605965 6.23073593389358837413
0.71111 8.10998895284526000182 7.90526273366801390807 7.53442170640818797978 7.06240966388575763801 6.46273257753245555790
0.72223 8.42985426451256358860 8.21679674746086696757 7.82986914278557399882 7.33522211576988780735 6.70149504305412868632
0.73334 8.75759578050859666121 8.53630328382738312598 8.13335013593919953223 7.61597609628923599701 6.94731831707247149410
0.74445 9.09287728693442609540 8.86350812342124250165 8.44469250967459927892 7.90463055994468177801 7.20045365669684844789
0.75556 9.43530887058275347101 9.19806808021562716249 8.76364177063005556079 8.20107501533525606874 7.46107810524004122499
0.76667 9.78447645363743667701 9.53962438855107208724 9.08991926274235595429 8.50514715275700439179 7.72931688389714199872
0.77778 10.13991038343984740777 9.88774363825399404959 9.42318312475759611857 8.81659952948171721232 8.00521246931630869881
0.78889 10.50114264217840975846 10.24200358215796136108 9.76306452480780428971 9.13515104691016155414 8.28872694794165632004
0.80000 10.86769542333790639077 10.60194453832814076577 10.10918006727406215361 9.46047935316273402861 8.57975349256703090361
0.81111 11.23906590196620491895 10.96710468885432732122 10.46111466142665413770 9.79222942850123878600 8.87810017320643929395
0.82222 11.61479106496118696157 11.33702674363397733259 10.81846442578577338622 10.13003554795526639509 9.18351951096796170759
0.83334 11.99441150442284609312 11.71126369253319765562 11.18081668344658829994 10.47352508321923281187 9.49571326891106970436
0.84445 12.37745523641792466663 12.08935213278022935413 11.54774618242469585994 10.82230806539741330141 9.81431913564887814516
0.85556 12.76352349254599438666 12.47088376018515454291 11.91886750480643009098 11.17603054973593579291 10.13896981403341968075
0.86667 13.15218682786964876641 12.85542149946236101243 12.29375596925759239753 11.53431172868752341287 10.46924348375344138162
0.87778 13.54310049129762738573 13.24260439087190732721 12.67205537678041160632 11.89682020260133477052 10.80477155376710740597
0.88889 13.93590240437702654219 13.63205413968281121129 13.05337696129993929617 12.26321201379017011845 11.14512901265339017698
0.90000 14.33029519392661654820 14.02344380404166734877 13.43737374140433971093 12.63317261816672854025 11.48994885470084703627
0.91111 14.72598990802112517429 14.41646442012134521349 13.82370719222370070156 13.00638541774097411974 11.83887633876148015588
0.92222 15.12272894465942307818 14.81082880675811530580 14.21206247890014573443 13.38255083549041657420 12.19157659995574860545
0.93333 15.52028983213432766775 15.20628493310936413252 14.60213702108391231604 13.76138442041405163252 12.54775183679588757002
0.94445 15.91848051367617600249 15.60261785803652756499 14.99366724406100104261 14.14260732851839996727 12.90713274393893073011
0.95556 16.31710499629953758927 15.99959820804575372222 15.38639134654978235517 14.52593869266489434722 13.26947086963632749246
0.96667 16.71603485238850339556 16.39707084596455644032 15.78009696901143321668 14.91114421880543972065 13.63456627023519018849
0.97778 17.11511296869758069761 16.79487103678229686921 16.17455930353644788511 15.29795140768531425124 14.00221318747047050124
0.98889 17.51424505064002090649 17.19286252805701309399 16.56961347219458602353 15.68615056631079873739 14.37224389764777399137
1.00000 17.91332144665762982072 17.59093375515982415891 16.96508117032095697141 16.07551856350943353391 14.74449343705222048584
1.01111 18.31226103692209150609 17.98897688775216963109 17.36082785515939619359 16.46584456353341963109 15.11880152516519615347
1.02222 18.71097878016557558567 18.38689163340654175727 17.75671318186845581977 16.85693672312822144477 15.49500682963457087737
1.03333 19.10943721414265183967 18.78462718415913101921 18.15263865876850601921 17.24863933206257371467 15.87297748017963705536
1.04444 19.50755878046566138551 19.18209643915706763551 18.54850955370479681505 17.64078898218685154120 16.25254626635128119005
1.05556 19.90532301900808676010 19.57926939962332113510 18.94423865316336019760 18.03324698064749043169 16.63357161519949301010
1.06667 20.30268082068559820641 19.97608169768449926096 19.33975586341020758141 18.42587838004228473210 17.01588425276872129643
1.07778 20.69961538759756436434 20.37251653925466854389 19.73501387468862944274 18.81859579721975705979 17.39935293833303830979
1.08889 21.09607175188898864349 20.76850942545771161463 20.12994626360773864349 19.21128133326410036830 17.78378919535516544670
1.10000 21.49205777082299917424 21.16406627950524921289 20.52451512250756948674 19.60386273107385335379 18.16908261213160002967
