rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.70000 -3.28622430591996561589 -2.36947926238772010876 -1.05029968674794460526 0.16748541979815817493 1.23350564388761818613
0.71111 -3.17888336422955530836 -2.25066440755218222236 -0.91756325255409065811 0.30878894309396048845 1.37638897144886862556
0.72223 -3.05904902200615591568 -2.12009016854382936756 -0.77433138487873132139 0.45906968147029103555 1.52644154919458219233
0.73334 -2.92598602178391864470 -1.97707132092955006897 -0.62000215512531098305 0.61883147384317660489 1.68405043876144611126
0.74445 -2.77895256807989943226 -1.82091355098432616799 -0.45396148553408272042 0.78859190456852523710 1.84961583485759484269
0.75556 -2.61720299708457604382 -1.65091558115488723502 -0.27558449532836265528 0.96888164823903000222 2.02355093875277658455
0.76667 -2.43999062072488159814 -1.46637144231775939929 -0.08423695241485343321 1.16024374768486948639 2.20628179772736254804
0.77778 -2.24657074460562133922 -1.26657289184073951205 0.12072317082635736218 1.36323282670611378720 2.39824711168071846856
0.78889 -2.03620385860431296621 -1.05081197574981977105 0.33994403975044973354 1.57841423954771520322 2.59989800840403839643
0.80000 -1.80815899806073376865 -0.81838373250144036408 0.57407820044657786873 1.80636315966878324701 2.81169778936091274701
0.81111 -1.56171727255177494875 -0.56858903495080337365 0.82378072710850369642 2.04766361096183047152 3.03412164819475327349
0.82222 -1.29617555816209106823 -0.30073756607901896976 1.08970727824631596903 2.30290744525120771868 3.26765636459828723304
0.83334 -1.01085034793384842544 -0.01415092287946107148 1.37251206720641127923 2.57269327065256003806 3.51279997664235743571
0.84445 -0.70508175378772430797 0.29183415850826127658 1.67284575358592157990 2.85762533621366765502 3.77006143517232539253
0.85556 -0.37823765163072664564 0.61786246481060846936 1.99135326338399321067 3.15831237919372487255 4.03996024444759349592
0.86667 -0.02971795958082596237 0.96455686484316016660 2.32867154714345714339 3.47536644238242864446 4.32302609382762081935
0.87778 0.34104096278165829670 1.33251477789544359176 2.68542728691790255624 3.80940167002601803858 4.61979848600372999812
0.88889 0.73456180851234242901 1.72230456535456566414 3.06223456467743249121 4.16103309222909878429 4.93082636804825202859
0.90000 1.15132172771325569371 2.13446186204544208209 3.45969250676055883886 4.53087540915476516545 5.25666777240773885893
0.91111 1.59174766214333396341 2.56948586647096721691 3.87838292122251804273 4.91954178796926555606 5.59788947591711583129
0.92222 2.05621163322755462488 3.02783561219253938290 4.31886794744809687785 5.32764268729455103824 5.95506668596564114893
0.93333 2.54502601040843945412 3.50992624603987479759 4.78168774023136311513 5.75578472596184997911 6.32878276411650908528
0.94445 3.05843879102583571239 4.01612534273661481166 5.26735821371256029977 6.20456961513575677714 6.71962899878368968842
0.95556 3.59662892771406328407 4.54674928993375804254 5.77636887415079058883 6.67459317542434771298 7.12820444001718467320
0.96667 4.15970174475133180891 5.10205978262397330525 6.30918077455840098366 7.16644446344847185770 7.55511581105940877023
0.97778 4.74768449096996825176 5.68226047155132629740 6.86622462878332395775 7.68070503554946881763 8.00097751313054850186
0.98889 5.36052208384773898331 6.28749381661991169068 7.44789912777873031047 8.21794837991343563033 8.46641174190205170191
1.00000 5.99807310736053622691 6.91783820355065870444 8.05456950661656279067 8.77873955244048254087 8.95204873635120357278
1.01111 6.66010613523381778123 7.57330539026138094272 8.68656641738755652682 9.36363505624060721289 9.45852718318326957103
1.02222 7.34629646153742132952 8.25383835878967531130 9.34418517058335140746 9.97318300977152816245 9.98649480279766343926
1.03333 8.05622333231147180754 8.95930965921400357388 10.02768541600833529515 10.60792365442092766159 10.53660914589328179147
1.04444 8.78936778531628881694 9.68952034413491425369 10.73729134386175765314 11.26839025887038836515 11.10953863330672142240
1.05556 9.54511122030509717717 10.44419960609442021848 11.47319249753195258279 11.95511048496718053968 11.70596387559366036157
1.06667 10.32273483973310490569 11.22300524608092686663 12.23554530204940959948 12.66860828818939666007 12.32657931326781231007
1.07778 11.12142011987376477578 12.02552511930678136309 13.02447542628440046997 13.40940643526815101438 12.97209522355504418556
1.08889 11.94025049532777771333 12.85127972510209559687 13.84008111310177646658 14.17802973228083196489 13.64324014508725824157
1.10000 12.77821446634982649471 13.69972613146403794815 14.68243763012556968306 14.97500906875091963855 14.34076377822830927755
