k sk_rho_0.2 sk_rho_0.4 sk_rho_0.6 sk_rho_0.8
0.78000 0.45313186422183721058 0.20851150347783659056 0.09580467465013543793 0.04391240009371781550
0.79000 0.45344993507412245659 0.20872683496669813819 0.09590652052326370525 0.04395663719370566241
0.80000 0.45377458573871015668 0.20894496476393614737 0.09600957566725465409 0.04400143138815542504
0.81000 0.45410581333654670422 0.20916592407682937926 0.09611386091372892126 0.04404679208885114994
0.82000 0.45444361498857877013 0.20938974411265687259 0.09621939709430722687 0.04409272870757687673
0.83000 0.45478798781575324739 0.20961645607869766605 0.09632620504061033262 0.04413925065611670057
0.84000 0.45513892893901641834 0.20984609118223043756 0.09643430558425881982 0.04418636734625467494
0.85000 0.45549643547931467635 0.21007868063053408703 0.09654371955687343632 0.04423408818977481866
0.86000 0.45586050455759485889 0.21031425563088756991 0.09665446779007487443 0.04428242259846121298
0.87000 0.45623113329480330380 0.21055284739056975840 0.09676657111548377099 0.04433137998409791142
0.88000 0.45660831881188668202 0.21079448711685963569 0.09688005036472090159 0.04438096975846897441
0.89000 0.45699205822979160896 0.21103920601703596294 0.09699492636940687529 0.04443120133335844157
0.90000 0.45738234866946464452 0.21128703529837780661 0.09711121996116248156 0.04448208412055038724
0.91000 0.45777918725185207105 0.21153800616816378910 0.09722895197160830172 0.04453362753182884409
0.92000 0.45818257109790078152 0.21179214983367306013 0.09734814323236508360 0.04458584097897788645
0.93000 0.45859249732855700277 0.21204949750218432536 0.09746881457505350566 0.04463873387378156088
0.94000 0.45900896306476779429 0.21231008038097673452 0.09759098683129430185 0.04469231562802395558
0.95000 0.45943196542747904987 0.21257392967732877120 0.09771468083270806737 0.04474659565348904772
0.96000 0.45986150153763805104 0.21284107659851977945 0.09783991741091560557 0.04480158336196098795
0.97000 0.46029756851619080260 0.21311155235182840939 0.09796671739753753938 0.04485728816522377427
0.98000 0.46074016348408386445 0.21338538814453347769 0.09809510162419451951 0.04491371947506145323
0.99000 0.46118928356226418508 0.21366261518391407859 0.09822509092250732154 0.04497088670325811999
1.00000 0.46164492587167799131 0.21394326467724897323 0.09835670612409662394 0.04502879926159781415
1.01000 0.46210708753327206511 0.21422736783181717257 0.09848996806058309128 0.04508746656186460311
1.02000 0.46257576566799274431 0.21451495585489741003 0.09862489756358738813 0.04514689801584249179
1.03000 0.46305095739678675537 0.21480605995376875206 0.09876151546473029008 0.04520710303531560309
1.04000 0.46353265984060054716 0.21510071133570990431 0.09889984259563240621 0.04526809103206794888
1.05000 0.46402087012038084612 0.21539894120799996102 0.09903989978791445659 0.04532987141788361041
1.06000 0.46451558535707382358 0.21570078077791765558 0.09918170787319711967 0.04539245360454662731
1.07000 0.46501680267162648352 0.21600626125274194345 0.09932528768310111555 0.04545584700384105309
1.08000 0.46552451918498516381 0.21631541383975172455 0.09947066004924710880 0.04552006102755095512
1.09000 0.46603873201809642435 0.21662826974622592657 0.09961784580325579175 0.04558510508746038692
1.10000 0.46655943829190699157 0.21694486017944336620 0.09976686577674789835 0.04565098859535340198
1.11000 0.46708663512736303680 0.21726521634668294336 0.09991774080134402380 0.04571772096301404686
1.12000 0.46762031964541139750 0.21758936945522364126 0.10007049170866498533 0.04578531160222639590
1.13000 0.46816048896699874460 0.21791735071234422105 0.10022513933033136424 0.04585376992477448177
1.14000 0.46870714021307141595 0.21824919132532372146 0.10038170449796390837 0.04592310534244238573
1.15000 0.46926027050457602696 0.21858492250144095914 0.10054020804318331006 0.04599332726701414742
1.16000 0.46981987696245908204 0.21892457544797483404 0.10070067079761022000 0.04606444511027382727
1.17000 0.47038595670766725210 0.21926818137220419058 0.10086311359286534439 0.04613646828400547184
1.18000 0.47095850686114693051 0.21961577148140798421 0.10102755726056938945 0.04620940619999314158
1.19000 0.47153752454384484372 0.21996737698286503160 0.10119402263234304751 0.04628326827002089694
1.20000 0.47212300687670755162 0.22032302908385442697 0.10136253053980701089 0.04635806390587280529
1.21000 0.47271495098068150309 0.22068275899165484821 0.10153310181458194417 0.04643380251933289238
1.22000 0.47331335397671331355 0.22104659791354530629 0.10170575728828858131 0.04651049352218524641
1.23000 0.47391821298574948740 0.22141457705680461787 0.10188051779254755913 0.04658814632621390006
1.24000 0.47452952512873658453 0.22178672762871173840 0.10205740415897959772 0.04666677034320290685
1.25000 0.47514728752662122035 0.22216308083654545680 0.10223643721920540328 0.04674637498493633414
1.26000 0.47577149730034984376 0.22254366788758481177 0.10241763780484562651 0.04682696966319823545
1.27000 0.47640215157086923670 0.22292851998910867550 0.10260102674752100138 0.04690856378977267815
1.28000 0.47703924745912568151 0.22331766834839580915 0.10278662487885216470 0.04699116677644369494
1.29000 0.47768278208606596014 0.22371114417272522368 0.10297445303045987819 0.04707478803499534625
1.30000 0.47833275257263652147 0.22410897866937584677 0.10316453203396477867 0.04715943697721172029
1.31000 0.47898915603978392541 0.22451120304562643959 0.10335688272098758622 0.04724512301487682198
1.32000 0.47965198960845462084 0.22491784850875601309 0.10355152592314895155 0.04733185555977473258
1.33000 0.48032125039959533419 0.22532894626604338395 0.10374848247206960861 0.04741964402368950560
1.34000 0.48099693553415262537 0.22574452752476745210 0.10394777319937023585 0.04750849781840520841
1.35000 0.48167904213307288774 0.22616462349220714523 0.10414941893667151174 0.04759842635570587371
1.36000 0.48236756731730284775 0.22658926537564139103 0.10435344051559412859 0.04768943904737557582
1.37000 0.48306250820778895427 0.22701848438234897842 0.10455985876775879262 0.04778154530519836130
1.38000 0.48376386192547793375 0.22745231171960889061 0.10476869452478618228 0.04787475454095829058
1.39000 0.48447162559131601300 0.22789077859470002752 0.10497996861829700377 0.04796907616643941719
1.40000 0.48518579632624997400 0.22833391621490112255 0.10519370187991189391 0.04806451959342579461
1.41000 0.48590637125122637663 0.22878175578749126995 0.10540991514125164219 0.04816109423370146941
1.42000 0.48663334748719189182 0.22923432851974928637 0.10562862923393687153 0.04825880949905052980
1.43000 0.48736672215509280193 0.22969166561895407175 0.10584986498958826040 0.04835767480125699458
1.44000 0.48810649237587577787 0.23015379829238447051 0.10607364323982654275 0.04845769955210493807
1.45000 0.48885265527048737955 0.23062075774731949362 0.10629998481627236928 0.04855889316337841377
1.46000 0.48960520795987416687 0.23109257519103790224 0.10652891055054646008 0.04866126504686146825
1.47000 0.49036414756498269973 0.23156928183081867956 0.10676044127426949359 0.04876482461433818971
1.48000 0.49112947120675964907 0.23205090887394064225 0.10699459781906217604 0.04886958127759258308
1.49000 0.49190117600615151927 0.23253748752768282904 0.10723140101654518586 0.04897554444840875043
1.50000 0.49267925908410459268 0.23302904899932394556 0.10747087169833922926 0.04908272353857072445
1.51000 0.49346371756156570676 0.23352562449614303053 0.10771303069606495695 0.04919112795986255865
1.52000 0.49425454855948131039 0.23402724522541878960 0.10795789884134307512 0.04930076712406830652
1.53000 0.49505174919879818551 0.23453394239443042801 0.10820549696579430388 0.04941165044297204240
1.54000 0.49585531660046250346 0.23504574721045651264 0.10845584590103929390 0.04952378732835779895
1.55000 0.49666524788542121271 0.23556269088077616547 0.10870896647869877916 0.04963718719200965745
1.56000 0.49748154017462054011 0.23608480461266817541 0.10896487953039341035 0.04975185944571164365
1.57000 0.49830419058900721208 0.23661211961341141463 0.10922360588774390755 0.04986781350124783879
1.58000 0.49913319624952778852 0.23714466709028486635 0.10948516638237094922 0.04998505877040228945
1.59000 0.49996855427712866282 0.23768247825056737499 0.10974958184589522769 0.05010360466495904913
1.60000 0.50081026179275667243 0.23822558430153784048 0.11001687310993743529 0.05022346059670217827
1.61000 0.50165831591735809969 0.23877401645047513501 0.11028706100611823659 0.05034463597741571650
1.62000 0.50251271377187978207 0.23932780590465821402 0.11056016636605837944 0.05046714021888375201
1.63000 0.50337345247726794639 0.23988698387136586643 0.11083621002137848677 0.05059098273289031056
1.64000 0.50424052915446948564 0.24045158155787710319 0.11111521280369930642 0.05071617293121945952
1.65000 0.50511394092443051562 0.24102163017147065771 0.11139719554464147522 0.05084272022565523852
1.66000 0.50599368490809804033 0.24159716091942562421 0.11168217907582575488 0.05097063402798173576
