,loss,mean_absolute_error,val_loss,val_mean_absolute_error,learning_rate
20,0.0872456356883049,0.1141805648803711,0.11203821003437042,0.12831808626651764,0.0004632911295630038
21,0.08701103925704956,0.11363139003515244,0.10948951542377472,0.12572206556797028,0.00044012657599523664
22,0.08681825548410416,0.11337915807962418,0.11139325052499771,0.12591080367565155,0.00041812023846432567
23,0.086566261947155,0.11282654851675034,0.1110040470957756,0.1278757005929947,0.00039721422945149243
24,0.08643312007188797,0.11259759217500687,0.11015419661998749,0.12560585141181946,0.00037735351361334324
25,0.08624003827571869,0.11210516095161438,0.11150085926055908,0.12578879296779633,0.00035848584957420826
26,0.0860658809542656,0.11167281866073608,0.10892689973115921,0.12845245003700256,0.00034056155709549785
27,0.08594544231891632,0.11147819459438324,0.11173831671476364,0.12553411722183228,0.0003235334879718721
28,0.08580942451953888,0.1111871749162674,0.1097458079457283,0.12356451153755188,0.0003073568223044276
29,0.08566921204328537,0.11082851141691208,0.10936559736728668,0.12559175491333008,0.00029198898118920624
30,0.08554534614086151,0.11064399033784866,0.11034297198057175,0.12548412382602692,0.00027738953940570354
31,0.0854625552892685,0.11038657277822495,0.10999833792448044,0.12626129388809204,0.0002635200507938862
32,0.08536264300346375,0.11022951453924179,0.11181438714265823,0.1249978169798851,0.0002503440482541919
33,0.0852556973695755,0.10994359850883484,0.11056260764598846,0.12784436345100403,0.0002378268400207162
34,0.08518197387456894,0.1098148450255394,0.11216148734092712,0.12894244492053986,0.00022593549510929734
35,0.08509622514247894,0.10965091735124588,0.11043307930231094,0.12846729159355164,0.00021463872690219432
36,0.08500541746616364,0.1094425693154335,0.10986419022083282,0.12398627400398254,0.00020390679128468037
37,0.0849473625421524,0.10926219075918198,0.11277423053979874,0.12599937617778778,0.00019371145754121244
38,0.08488119393587112,0.10911977291107178,0.10982411354780197,0.12327421456575394,0.0001840258773881942
39,0.08482740819454193,0.1089070737361908,0.11133348196744919,0.12587518990039825,0.00017482458497397602
40,0.0847560316324234,0.10882033407688141,0.11300294101238251,0.12377094477415085,0.00016608335135970265
41,0.08472959697246552,0.10870788246393204,0.10938029736280441,0.12409628927707672,0.00015777918451931328
42,0.08463782072067261,0.10851167887449265,0.11174886673688889,0.12342288345098495,0.0001498902274761349
43,0.08461860567331314,0.10839828848838806,0.10959143936634064,0.12408158928155899,0.00014239571464713663
44,0.08456926047801971,0.10828989744186401,0.10916543751955032,0.12322092801332474,0.00013527592818718404
45,0.08451727777719498,0.10811509937047958,0.11040709912776947,0.12321867048740387,0.00012851212522946298
46,0.0844850018620491,0.10799512267112732,0.1110687255859375,0.12268780916929245,0.0001220865233335644
47,0.0844465047121048,0.1079806312918663,0.11041156202554703,0.12280931323766708,0.0001159821986220777
48,0.08441873639822006,0.10785483568906784,0.11225865036249161,0.12424030154943466,0.00011018308578059077
49,0.08436984568834305,0.1077423244714737,0.1108451560139656,0.12643253803253174,0.00010467393440194428
50,0.08434706926345825,0.10762283951044083,0.11137430369853973,0.12304616719484329,9.944023622665554e-05
51,0.08432270586490631,0.10758433490991592,0.11023508012294769,0.1240982860326767,9.446822514291853e-05
52,0.08430493623018265,0.10752169042825699,0.11026834696531296,0.12271635234355927,8.974481170298532e-05
53,0.08425673842430115,0.10740306973457336,0.11128197610378265,0.12251278012990952,8.525756857125089e-05
54,0.08424005657434464,0.10737981647253036,0.11075008660554886,0.12249769270420074,8.099468686850742e-05
55,0.0842166319489479,0.10731378942728043,0.10886690765619278,0.12201285362243652,7.694495434407145e-05
56,0.08418677747249603,0.10725034028291702,0.10831902921199799,0.12326525896787643,7.309770444408059e-05
57,0.0841638445854187,0.10714929550886154,0.10948961228132248,0.12216316163539886,6.944281631149352e-05
58,0.08414986729621887,0.10714871436357498,0.10997122526168823,0.12310145050287247,6.597067840630189e-05
59,0.08412910997867584,0.10706190019845963,0.11036773025989532,0.12272638082504272,6.267214484978467e-05
60,0.08411113917827606,0.10701873898506165,0.11055077612400055,0.12280641496181488,5.953853906248696e-05
61,0.08408991247415543,0.10696521401405334,0.11052559316158295,0.123911052942276,5.6561613746453077e-05
62,0.08407310396432877,0.10688246786594391,0.11176444590091705,0.12246578186750412,5.373353269533254e-05
63,0.08405947685241699,0.10685829818248749,0.10905370861291885,0.12234389781951904,5.1046856242464855e-05
64,0.08404824882745743,0.10678979009389877,0.10993190854787827,0.12212666124105453,4.849451215704903e-05
65,0.0840374082326889,0.10675974190235138,0.1109670028090477,0.12240591645240784,4.6069784730207175e-05
66,0.08401170372962952,0.1066952720284462,0.10897501558065414,0.12291143089532852,4.376629658509046e-05
67,0.0840076431632042,0.10666420310735703,0.11046136915683746,0.12272310256958008,4.157798321102746e-05
68,0.08398503065109253,0.10663661360740662,0.11028243601322174,0.12207933515310287,3.949908568756655e-05
69,0.08398266136646271,0.10661792755126953,0.11047940701246262,0.12254849821329117,3.752413249458186e-05
70,0.08396714925765991,0.10658251494169235,0.1105939969420433,0.12251105904579163,3.564792496035807e-05
71,0.0839540883898735,0.10654991120100021,0.11103622615337372,0.1221718117594719,3.386552998563275e-05
